mergeid,sample,int_date,phase,fcall,attempts,refusal,stimes,ilang,p1version,cregion,state,density,usr,scregion,sstate,susr,igender,irace,llitext1,llitext2,qs1,cpitext1,cpitext2,qa1,qa1a,qb2,qb3,qb4,qa12,qa14a,qa14b,qa14c,qa14d,qa14e,qa15a,qa15b,qb18a,qb18b,q25a,q25b,q25c,q25d,q25f,q25g,q25i,q25k,q25n,q25p,qa26,qa27,qb27,qb28,qb29,qa30,qb30,qb31,oftvote,qb32,qb33,qb33a,cheat,qa36a,qa36b,qa36c,qa36d,qa37a,qa37b,qa37c,qa37d,q40,qb42a,qb42b,qb42c,qb42d,qb46,q50r,q50u,q50y,q50aa,q50cc,q50ee,q50hh,qbx,qe2,qe1,qe3,employ1,employ7,qe11,q51jj,q51ll,q51mm,q51nn,q51pp,q51qq,q51rr,qb52,qb52x,qb53a,qb53b,qb53c,qb54,qb54a,qb55a,qb55b,qa62,qa77,qa77a,qa77b,qa78,qb80,qa126,qa126a,qa126b,qa127,qa128,qa129,qa143,ideoconsist,typogroups,sex,age,educ2,hisp,racecmb,racethn,racethn2,birth_hisp,usborn,marital,citizen,relig,chr,born,attend,income,inchi,reg,party,partyln,partystr,partysum,qb166,qb167,qa168,qa169,ideo,partyideo,hh1,hh3,adults,child,ql1,ql1a,qc1,ll,cp,money2,ckinfo,iphoneuse,hphoneuse,weight
1100051,1,60817,1,170608,1,0,1,1,1,3,48,4,U,3,48,U,2,2,1,1, , , ,1,1, , , ,1,2,1,2,1,2,2,4, , ,1,2,1,5,5,2,1,1,2, ,2,2, , , ,2, , ,1, , , , ,2,2,2,1,1,2,1,2,1, , , , , ,1,9,1,1,1,1,1, , , , , , , ,1,2, ,1, , , , , , , , , , , , ,1,1,1, ,1, ,2, ,2,1,2,3,1,7,8,1,76,6,2,1,1,1, ,1,1, ,2, ,1,3,10, ,1,3,1, ,1, , ,2, ,2,3,2,2,2,0,1, , ,1,1, , ,2,2,1.1935483870967742
1100053,1,61717,1,170608,3,1,3,1,2,2,39,4,U,2,39,U,2,2,1,1, , , ,2,1, , , ,1,1,1,1,2,2,3,3, , ,1,2,2,2,9,1,2,1,1, ,2,2, , , ,9, , ,1, , , , ,2,1,1,1,1,2,1,2,1, , , , , ,9,1,1,1,1,1,1, , , , , , , ,2,2, ,1, , , , , , , , , , , , ,3,1,1, ,1, ,2, ,2,2,2,2,1,-2,5,2,99,4,9,9,9,9, ,1,1, ,12, , ,1,10, ,1,3,1, ,1, , ,1, ,2,3,2,2,2,0,1, , ,1,1, , ,2,2,1.6774193548387097
1100061,1,60817,1,170608,1,0,1,1,1,2,29,4,S,2,29,S,1,3,1,1, , , ,2,1, , , ,2,3,1,1,2,1,3,2, , ,2,1,2,2,2,1,1,2,2, ,2,1, , , ,2, , ,1, , , , ,1,2,1,2,1,2,2,2,1, , , , , ,2,1,1,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,2, ,2, ,1,1, ,1,1,2,1,-2,1,1,62,6,2,1,1,1, ,1,1, ,1, ,2,3,7, ,1,3,2, ,2, , , ,2,2,3,2,2,2,0,1, , ,1,1, , ,2,2,1.2580645161290323
1100077,1,61717,1,170608,3,1,3,1,2,1,34,4,S,1,34,S,1,1,2,2, , , ,2,1, , , ,2,2,1,1,2,2,4,2, , ,1,1,2,1,1,1,5,2,1, ,1,1, , , ,1, , ,2, , , , ,1,2,1,2,2,1,2,2,1, , , , , ,2,1,1,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,1,1, ,1,1,1,2,-7,1,2,69,8,2,1,1,1, ,1,1, ,12, , ,5,8, ,1,3,2, ,2, , , ,2,4,3,2,2,2,0,1, , ,1,1, , ,2,2,1.1935483870967742
1100086,1,61317,1,170608,4,1,4,1,2,3,48,2,S,3,48,S,2,2,2,1, , , ,2,9, , , ,2,1,9,1,9,1,1,2, , ,2,1,9,9,9,9,1,1,2, ,9,9, , , ,9, , ,1, , , , ,9,1,9,9,2,9,1,1,4, , , , , ,9,9,2,2,1,2,5, , , , , , , ,9,9, ,9, , , , , , , , , , , , ,1,9, , ,9, ,9, , ,1,9,9,9,0,5,2,74,3,2,1,1,1, ,1,1, ,12, , ,5,1, ,1,2, ,1,2, , , ,1,9,9,2,2,2,0,2,1, ,1,0, , ,1,2,8.161290322580644
1100092,1,60917,1,170608,3,0,3,1,2,1,42,1,R,1,42,R,2,2,1,1, , , ,1,1, , , ,1,1,1,1,1,1,2,2, , ,2,1,1,2,2,1,1,1,2, ,1,3, , , ,2, , ,1, , , , ,1,1,1,1,2,2,1,1,1, , , , , ,2,2,1,2,1,1,1, , , , , , , ,2,2, ,1, , , , , , , , , , , , ,1,2, ,2,1, ,2, ,1,2,4,3,1,2,5,1,81,3,2,1,1,1, ,1,5, ,2, ,1,4,10, ,1,2, ,2,2, , , ,1,3,4,2,2,2,0,1, , ,1,1, , ,2,2,2.7419354838709675
1100093,1,61717,1,170608,4,1,4,1,2,3,37,1,R,3,37,R,1,2,1,2, , , ,1,1, , , ,2,2,1,1,2,2,2,1, , ,2,1,1,2,5,2,1,1,1, ,1,2, , , ,1, , ,1, , , , ,1,1,2,1,1,2,1,2,1, , , , , ,2,1,2,2,2,1,2, , , , , , , ,2,1, ,1, , , , , , , , , , , , ,2,2, ,1,2, ,2, ,2,2,4,4,2,-1,6,2,31,5,2,1,1,1, ,1,3, ,1, ,1,3,2, ,1,3,1, ,1, , ,1, ,2,3,3,1,1,2,1, , ,1,1, , ,2,2,4.548387096774193
1100094,1,60817,1,170608,2,0,2,1,1,3,37,2,S,3,37,S,2,2,1,1, , , ,2,1, , , ,2,2,1,1,3,1,2,2, , ,2,2,1,2,2,1,2,1,2, ,2,1, , , ,1, , ,1, , , , ,1,9,1,1,2,2,1,1,1, , , , , ,2,1,1,1,1,2,1, , , , , , , ,1,2, ,2, , , , , , , , , , , , ,2,1,2, ,2, ,2, ,2,1,2,1,2,0,5,1,76,8,2,1,1,1, ,1,1, ,1, ,2,2,8, ,1,1, ,1,1, , ,1, ,2,1,2,2,2,0,1, , ,1,1, , ,2,2,1.2258064516129032
1100096,1,61317,1,170608,4,1,4,1,2,3,48,1,R,3,48,R,1,3,2,1, , , ,1,1, , , ,1,9,1,2,1,2,2,4, , ,1,2,1,2,2,2,1,2,2, ,2,2, , , ,2, , ,1, , , , ,2,1,2,1,1,2,1,2,2, , , , , ,1,2,1,2,2,2,1, , , , , , , ,2,2, ,1, , , , , , , , , , , , ,1,9, , ,1, ,2, ,2,3,3,3,1,10,7,2,64,4,2,1,1,1, ,1,1, ,1, ,1,2,6, ,1,1, ,1,1, , ,2, ,2,1,1, ,1,0,1, , ,1,1, , ,2,2,1.4516129032258065
1100106,1,60817,1,170608,1,0,1,1,1,1,34,2,S,1,34,S,2,1,2,2, , , ,9, , , , ,1,3,1,1,1,2,2,2, , ,1,1,1,1,5,1,5,1,1, ,1,3, , , ,2, , ,6, , , , ,1,1,1,2,2,2,2,1,4, , , , , ,2,1,2,1,1,5,2, , , , , , , ,5,1, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,1,2, ,1,2,2,2,-4,3,1,59,4,2,1,1,1, ,1,1, ,1, ,2,4,5, ,3,3,2, ,2, , , ,1,4,3,2,2,2,0,1, , ,1,1, , ,2,2,2
1100107,1,60817,1,170608,1,0,1,1,1,3,37,1,R,3,37,R,1,3,2,2, , , ,2,2, , , ,2,2,2,2,2,1,4,3, , ,2,1,2,2,2,1,5,2,1, ,1,2, , , ,2, , ,1, , , , ,1,2,1,2,1,2,1,2,1, , , , , ,2,1,1,1,2,2,1, , , , , , , ,1,1, ,1, , , , , , , , , , , , ,2,1,1, ,1, ,1,1, ,1,2,2,1,-5,3,1,68,8,2,9,9,9, ,1,6, ,11,2, ,6,8, ,1,3,2, ,2, , , ,2,3,3,1, ,1,0,1, , ,1,1, , ,2,2,1
1100108,1,60817,1,170608,1,0,1,1,1,2,55,3,U,2,55,U,2,2,1,1, , , ,2,1, , , ,2,1,2,1,3,1,4,3, , ,2,1,2,1,1,1,2,2,1, ,1,1, , , ,2, , ,1, , , , ,1,2,2,2,2,2,1,2,1, , , , , ,2,1,1,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,3,1,1, ,1, ,1,1, ,1,1,2,2,-10,1,2,72,6,2,1,1,1, ,1,1, ,1, ,2,6,9,1,1,3,2, ,2, , , ,2,5,3,2,2,2,0,1, , ,1,1, , ,2,2,1.129032258064516
1100110,1,61017,1,170608,2,1,2,1,2,3,40,4,S,3,40,S,1,1,1,2, , , ,1,2, , , ,2,1,1,1,1,2,2,3, , ,1,2,1,2,2,1,1,1,2, ,2,1, , , ,1, , ,1, , , , ,2,1,2,1,1,2,1,2,2, , , , , ,1,2,1,1,2,1,1, , , , , , , ,1,2, ,1, , , , , , , , , , , , ,1,2, ,1,1, ,2, ,2,1,3,3,1,8,8,1,86,6,2,1,1,1, ,1,5, ,1, ,1,2,5, ,1,1, ,1,1, , ,1, ,2,1,1, ,1,0,1, , ,1,1, , ,2,2,1
1100116,1,60817,1,170608,1,0,1,1,1,2,26,2,S,2,26,S,2,4,2,2, , , ,1,1, , , ,1,2,9,1,1,1,2,3, , ,2,1,9,2,2,9,1,2,2, ,1,1, , , ,9, , ,1, , , , ,2,1,9,1,1,2,1,2,1, , , , , ,2,2,1,9,2,1,2, , , , , , , ,1,2, ,1, , , , , , , , , , , , ,2,1,9, ,2, ,2, ,2,2,9,4,9,2,5,1,83,6,2,1,1,1, ,1,5, ,12, , ,6,7, ,1,1, ,1,1, , ,1, ,2,1,1, ,1,0,1, , ,1,1, , ,2,2,1
1100117,1,60817,1,170608,1,0,1,1,1,1,36,4,S,1,36,S,2,2,2,2, , , ,1,1, , , ,1,2,1,2,2,2,2,4, , ,1,2,1,2,2,2,5,5,2, ,2,1, , , ,1, , ,1, , , , ,2,1,2,1,1,2,1,2,1, , , , , ,1,1,2,2,2,1,1, , , , , , , ,2,1, ,1, , , , , , , , , , , , ,2,2, ,2,1, ,2, ,2,1,2,3,1,7,8,2,48,5,2,4,4,5, ,1,3, ,2, ,2,5,5, ,1,1, ,1,1, , ,9, ,2,1,3,3,3,0,1, , ,1,1, , ,2,2,5.451612903225806
1100126,1,60817,1,170608,1,0,1,1,1,3,12,1,R,3,12,R,2,4,1,2, , , ,1,1, , , ,2,3,3,1,1,2,2,4, , ,2,1,1,2,2,2,1,1,2, ,1,1, , , ,9, , ,1, , , , ,2,1,2,1,1,2,2,1,1, , , , , ,1,2,1,2,2,2,1, , , , , , , ,1,2, ,1, , , , , , , , , , , , ,1,2, ,2,1, ,2, ,2,1,3,2,1,6,7,2,80,6,2,1,1,1, ,1,2, ,1, ,1,3,4, ,1,3,1, ,1, , ,1, ,1,3,3,3,3,0,2,2, ,1,0, , ,1,1,5.32258064516129
1100129,1,60817,1,170608,1,0,1,1,1,1,36,5,S,1,36,S,1,2,2,1, , , ,1,1, , , ,1,3,9,2,9,2,3,3, , ,2,1,1,2,5,5,1,1,1, ,2,1, , , ,1, , ,1, , , , ,1,1,2,1,2,2,2,1,2, , , , , ,2,9,1,1,1,1,2, , , , , , , ,1,2, ,2, , , , , , , , , , , , ,1,1,2, ,2, ,2, ,2,1,3,2,2,-1,5,2,50,8,2,1,1,1, ,1,1, ,12, , ,6,9,1,1,1, ,2,1, , ,9, ,3,2,4,4,3,0,1, , ,1,1, , ,2,2,2.3548387096774195
1100131,1,61017,1,170608,3,0,2,1,2,3,48,1,R,3,48,R,2,2,1,1, , , ,2,1, , , ,1,2,1,1,1,1,4,1, , ,2,2,2,1,1,1,2,1,2, ,1,2, , , ,2, , ,2, , , , ,1,2,1,2,2,1,2,1,2, , , , , ,2,9,2,2,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,2, ,2,1,9,2,9,-5,2,2,61,5,2,2,2,2, ,1,3, ,1, ,1,3,3, ,1,2, ,1,2, , , ,1,3,4,1, ,1,0,1, , ,1,1, , ,2,2,1.4838709677419355
1100138,1,60917,1,170608,2,0,2,1,1,2,26,3,U,2,26,U,1,3,1,2, , , ,2,1, , , ,2,1,1,1,1,1,4,2, , ,2,1,2,1,1,1,2,2,1, ,2,2, , , ,2, , ,2, , , , ,1,2,1,2,2,1,2,1,1, , , , , ,2,1,1,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,3,1,1, ,2, ,1,1, ,1,1,1,2,-10,1,2,70,8,2,1,1,1, ,1,6, ,1, ,2,5,4, ,1,2, ,1,2, , , ,1,4,5,1, ,1,0,1, , ,1,1, , ,2,2,1
1100147,1,60817,1,170608,1,0,1,1,1,3,37,2,R,3,37,R,2,2,1,1, , , ,1,1, , , ,1,2,1,2,2,2,2,4, , ,1,2,1,1,2,2,1,2,2, ,1,2, , , ,2, , ,1, , , , ,2,1,1,1,1,2,1,2,1, , , , , ,1,2,2,2,2,2,1, , , , , , , ,1,2, ,1, , , , , , , , , , , , ,2,1,2, ,1, ,2, ,2,1,4,3,1,8,7,1,73,4,2,1,1,1, ,1,1, ,12, , ,4,5, ,1,1, ,2,1, , ,2, ,3,2,3,2,2,1,1, , ,1,1, , ,2,2,1.806451612903226
1100148,1,60817,1,170608,1,0,1,1,1,1,9,4,S,1,9,S,1,2,1,2, , , ,2,1, , , ,2,1,1,1,2,1,4,2, , ,2,1,2,9,1,1,2,5,1, ,1,1, , , ,2, , ,1, , , , ,1,2,1,2,2,1,2,1,1, , , , , ,2,1,1,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,1,1, ,1,1,2,2,-9,1,2,68,6,2,1,1,1, ,1,3, ,1, ,2,3,5, ,1,2, ,1,2, , , ,1,5,5,1, ,1,0,1, , ,1,1, , ,2,2,1
1100149,1,61817,1,170608,6,0,6,1,2,2,18,2,R,2,18,R,1,2,2,2, , , ,1,1, , , ,1,3,1,2,1,2,2,4, , ,1,2,2,2,2,9,1,1,2, ,2,3, , , ,8, , ,1, , , , ,2,1,1,1,1,2,1,2,1, , , , , ,1,2,1,1,2,2,1, , , , , , , ,2,2, ,1, , , , , , , , , , , , ,2,1,2, ,1, ,2, ,2,2,4,4,1,7,7,1,37,3,2,1,1,1, ,1,1, ,13, ,2,5,5, ,1,3,1, ,1, , ,2, ,2,3,2,2,2,0,1, , ,1,1, , ,2,2,5.774193548387097
1100154,1,60817,1,170608,1,0,1,1,1,3,13,3,U,3,13,U,2,2,1,2, , , ,2,1, , , ,1,1,3,1,1,2,4,4, , ,1,1,5,2,2,1,1,1,1, ,2,3, , , ,2, , ,4, , , , ,1,2,1,2,2,2,1,1,1, , , , , ,2,2,1,2,2,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,1,1, ,1,4,2,1,1,3,1,53,8,2,2,2,2, ,1,1, ,1, ,1,2,8, ,1,2, ,1,2, , , ,2,2,4,4,4,3,0,1, , ,1,1, , ,2,2,1.806451612903226
1100156,1,60817,1,170608,1,0,1,1,1,2,39,4,S,2,39,S,1,3,1,1, , , ,2,1, , , ,1,1,2,1,2,1,4,2, , ,2,1,2,1,1,1,2,2,1, ,1,2, , , ,2, , ,1, , , , ,1,2,1,2,2,1,2,1,1, , , , , ,2,1,1,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,3,1,1, ,2, ,1,1, ,1,1,1,1,-10,1,1,63,8,2,1,1,1, ,1,1, ,12, , ,6,7, ,1,2, ,1,2, , , ,2,4,5,2,2,2,0,1, , ,1,1, , ,2,2,1.2580645161290323
1100162,1,60817,1,170608,1,0,1,1,1,2,18,3,S,2,18,S,2,2,2,2, , , ,2,1, , , ,1,1,1,1,2,1,3,2, , ,2,1,2,1,1,1,1,1,1, ,2,1, , , ,2, , ,2, , , , ,2,1,1,2,2,1,2,1,1, , , , , ,2,1,1,1,1,1,1, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,1,1,1, ,2, ,1,2, ,1,1,1,2,-8,2,1,44,8,2,1,1,1, ,1,1, ,1, ,2,3,9,1,1,2, ,1,2, , , ,1,3,4,5,3,3,2,1, , ,1,1, , ,2,2,2.3548387096774195
1100168,1,60817,1,170608,1,0,1,1,1,1,34,5,U,1,34,U,1,2,2,1, , , ,9, , , , ,2,2,2,2,2,2,1,1, , ,1,1,1,1,1,1,2,1,1, ,1,3, , , ,1, , ,5, , , , ,1,2,1,2,1,2,2,2,1, , , , , ,1,1,2,2,1,1,1, , , , , , , ,2,1, ,2, , , , , , , , , , , , ,2,2, ,1,2, ,1,2, ,2,3,1,2,-4,2,1,56,3,2,1,1,1, ,1,4, ,2, ,2,2,2, ,2,4,9, ,9, , , , ,4,9,2,2,2,0,1, , ,1,1, , ,2,2,3.8064516129032255
1100170,1,61417,1,170608,4,1,4,1,2,1,25,3,S,1,25,S,2,3,1,2, , , ,1,1, , , ,2,2,1,2,9,2,3,4, , ,1,2,1,2,2,2,1,1,2, ,2,2, , , ,2, , ,1, , , , ,2,1,2,1,1,2,1,2,1, , , , , ,1,2,1,2,2,2,2, , , , , , , ,2,2, ,1, , , , , , , , , , , , ,1,2, ,2,1, ,2, ,1,2,4,4,1,10,8,2,75,3,2,1,1,1, ,1,1, ,1, ,1,2,6, ,1,1, ,1,1, , ,2, ,2,1,2,2,2,0,1, , ,1,1, , ,2,2,4.096774193548387
1100175,1,61217,1,170608,5,1,5,1,2,2,26,2,S,2,26,S,2,2,1,1, , , ,1,2, , , ,1,1,1,1,2,2,1,4, , ,1,2,2,2,2,2,2,2,1, ,1,1, , , ,2, , ,2, , , , ,1,1,1,1,2,1,2,2,3, , , , , ,1,5,2,1,9,2,1, , , , , , , ,1,9, ,9, , , , , , , , , , , , ,3,1,1, ,9, ,2, ,2,2,3,1,9,3,7,1,43,3,2,1,1,1, ,1,6, ,1, ,9,2,3, ,2,3,1, ,1, , ,1, ,9,3,1, ,1,0,2, , ,1,0, , ,1,1,8.161290322580644
1100176,1,61317,1,170608,4,1,4,1,2,1,36,4,S,1,36,S,1,3,1,1, , , ,1,1, , , ,2,1,2,1,1,2,2,3, , ,2,1,2,1,2,1,2,2,1, ,1,1, , , ,1, , ,2, , , , ,2,1,1,1,1,2,1,2,1, , , , , ,1,1,1,1,2,2,1, , , , , , , ,1,1, ,1, , , , , , , , , , , , ,2,2, ,1,1, ,1,1, ,1,1,2,1,-6,6,1,24,4,2,1,1,1, ,1,6, ,12, , ,6,8, ,1,3,1, ,1, , ,2, ,3,3,3,3,3,0,1, , ,1,1, , ,2,2,6.096774193548387
1100181,1,60817,1,170608,1,0,1,1,1,1,36,2,S,1,36,S,1,2,2,2, , , ,1,2, , , ,1,9,1,1,1,1,2,2, , ,1,1,2,2,2,2,2,2,2, ,2,3, , , ,1, , ,2, , , , ,2,2,1,2,2,2,1,2,2, , , , , ,2,1,2,1,1,2,2, , , , , , , ,2,1, ,2, , , , , , , , , , , , ,2,1,1, ,1, ,1,2, ,1,2,2,2,0,4,2,66,3,2,1,1,1, ,1,5, ,1, ,2,4,2, ,1,3,9, ,9, , , , ,3,3,4,4,3,0,1, , ,1,1, , ,2,2,4.806451612903226
1100185,1,60817,1,170608,1,0,1,1,1,3,37,4,U,3,37,U,2,2,1,1, , , ,1,2, , , ,1,2,1,1,1,2,2,3, , ,1,2,1,2,2,2,1,2,2, ,1,1, , , ,2, , ,1, , , , ,2,1,1,1,2,1,1,2,1, , , , , ,1,1,1,1,2,2,1, , , , , , , ,1,1, ,1, , , , , , , , , , , , ,2,1,9, ,1, ,2, ,2,2,3,2,1,8,7,1,72,7,2,1,1,1, ,1,1, ,1, ,2,4,9,2,1,1, ,2,1, , ,1, ,3,2,2,2,2,0,1, , ,1,1, , ,2,2,1.1935483870967742
1100186,1,60817,1,170608,1,0,1,1,1,3,37,1,R,3,37,R,2,3,2,1, , , ,1,1, , , ,1,2,1,1,1,2,2,4, , ,1,2,1,2,2,2,1,1,1, ,1,3, , , ,1, , ,1, , , , ,1,2,1,2,1,2,1,1,1, , , , , ,1,2,2,1,2,2,1, , , , , , , ,1,2, ,1, , , , , , , , , , , , ,2,2, ,2,1, ,2, ,1,2,4,4,1,8,7,1,64,5,2,1,1,1, ,1,1, ,1, ,1,2,4, ,1,1, ,1,1, , ,1, ,1,1,2,2,2,0,1, , ,1,1, , ,2,2,1.7096774193548387
